run,lumisection,title,data
297176,194,adc_PXDisk_-1,"[0.0, 4380.0, 11928.0, 26920.0, 108579.0, 232818.0, 467865.0, 319780.0, 410023.0, 287009.0, 307258.0, 182144.0, 214927.0, 177809.0, 194190.0, 124175.0, 132964.0, 128751.0, 121811.0, 81856.0, 94116.0, 70258.0, 76910.0, 46479.0, 50175.0, 47544.0, 45543.0, 27382.0, 32588.0, 26079.0, 28194.0, 18234.0, 290529.0, 0.0]"
297176,195,adc_PXDisk_-1,"[0.0, 4015.0, 11447.0, 26347.0, 105490.0, 226983.0, 454184.0, 311764.0, 398884.0, 280354.0, 300422.0, 176715.0, 208869.0, 174195.0, 189122.0, 120579.0, 130610.0, 126304.0, 119126.0, 79931.0, 91220.0, 68588.0, 75231.0, 45239.0, 48935.0, 46855.0, 44577.0, 26383.0, 31668.0, 25217.0, 27428.0, 17847.0, 282946.0, 0.0]"
297178,1,adc_PXDisk_-1,"[0.0, 3985.0, 11210.0, 25564.0, 104190.0, 224938.0, 449995.0, 307099.0, 391460.0, 273998.0, 292943.0, 173308.0, 203373.0, 170348.0, 184266.0, 117490.0, 126748.0, 123333.0, 115866.0, 77904.0, 89570.0, 67268.0, 73349.0, 44650.0, 48081.0, 45571.0, 43286.0, 26538.0, 31069.0, 24947.0, 26576.0, 17531.0, 277244.0, 0.0]"
297178,2,adc_PXDisk_-1,"[0.0, 4131.0, 10784.0, 25454.0, 101743.0, 218744.0, 438111.0, 299451.0, 379462.0, 264375.0, 283708.0, 168634.0, 198981.0, 164785.0, 178538.0, 114619.0, 123593.0, 120750.0, 112206.0, 76296.0, 87155.0, 65160.0, 71468.0, 43136.0, 46670.0, 44096.0, 41920.0, 25443.0, 30114.0, 24353.0, 25740.0, 17100.0, 268287.0, 0.0]"
297178,3,adc_PXDisk_-1,"[0.0, 4153.0, 11227.0, 26071.0, 106307.0, 229146.0, 454978.0, 310923.0, 394262.0, 276633.0, 294715.0, 173834.0, 206381.0, 171418.0, 185853.0, 118007.0, 127683.0, 124305.0, 116512.0, 78797.0, 91181.0, 67505.0, 73985.0, 45199.0, 48813.0, 46583.0, 43703.0, 26168.0, 31248.0, 25111.0, 26774.0, 17674.0, 277743.0, 0.0]"
297178,4,adc_PXDisk_-1,"[0.0, 4058.0, 11130.0, 26092.0, 104194.0, 224901.0, 447890.0, 305531.0, 388305.0, 272228.0, 289680.0, 172366.0, 204247.0, 169302.0, 183790.0, 117656.0, 125853.0, 123127.0, 114709.0, 77893.0, 89476.0, 66529.0, 73096.0, 44431.0, 47776.0, 45463.0, 43247.0, 26213.0, 31080.0, 24784.0, 26447.0, 17687.0, 274389.0, 0.0]"
297178,5,adc_PXDisk_-1,"[0.0, 4082.0, 11293.0, 25591.0, 103363.0, 221676.0, 439127.0, 300361.0, 382375.0, 266330.0, 285047.0, 167996.0, 199945.0, 165785.0, 179534.0, 114597.0, 122742.0, 120460.0, 113132.0, 76025.0, 87615.0, 65629.0, 71039.0, 43119.0, 46695.0, 44954.0, 42236.0, 25409.0, 30335.0, 24279.0, 25883.0, 17092.0, 270655.0, 0.0]"
297178,8,adc_PXDisk_-1,"[0.0, 3987.0, 11416.0, 25428.0, 104271.0, 224863.0, 445008.0, 304007.0, 385911.0, 270107.0, 290108.0, 170864.0, 202750.0, 168267.0, 182479.0, 116413.0, 125517.0, 121267.0, 114163.0, 76924.0, 87899.0, 66205.0, 71761.0, 44360.0, 47344.0, 45054.0, 42842.0, 25780.0, 31081.0, 24494.0, 26042.0, 17264.0, 273193.0, 0.0]"
297178,9,adc_PXDisk_-1,"[0.0, 4281.0, 11627.0, 26508.0, 107395.0, 231827.0, 462238.0, 314077.0, 399087.0, 278967.0, 298438.0, 176823.0, 209371.0, 174075.0, 189027.0, 120687.0, 130053.0, 126429.0, 118551.0, 79569.0, 91768.0, 68819.0, 75117.0, 46088.0, 48830.0, 47102.0, 44070.0, 26899.0, 31780.0, 25531.0, 27456.0, 17912.0, 283771.0, 0.0]"
297178,52,adc_PXDisk_-1,"[0.0, 4052.0, 10843.0, 25567.0, 101272.0, 217196.0, 429996.0, 292956.0, 369593.0, 258387.0, 276248.0, 164211.0, 194314.0, 160981.0, 174299.0, 112022.0, 120212.0, 116832.0, 109518.0, 73944.0, 85372.0, 63467.0, 68991.0, 42252.0, 45828.0, 43503.0, 40932.0, 24840.0, 29508.0, 23635.0, 25052.0, 16704.0, 261757.0, 0.0]"
